 f,           1,fy,  -2074.875    
 f,           2,fy,  -2115.436    
 f,           3,fy,  -2074.875    
 f,           4,fy,  -2018.529    
 f,           5,fy,  -1946.804    
 f,           6,fy,  -1632.180    
 f,           7,fy,  -2148.071    
 f,           8,fy,  -2139.896    
 f,           9,fy,  -2115.436    
 f,          10,fy,  -2139.896    
 f,          11,fy,  -1232.087    
 f,          12,fy,  -1380.748    
 f,          13,fy,  -907.8129    
 f,          14,fy,  -1074.033    
 f,          15,fy,  -734.6831    
 f,          16,fy,  -1518.912    
 f,          17,fy,  -1645.511    
 f,          18,fy,  -1946.804    
 f,          19,fy,  -2018.529    
 f,          20,fy,  -1860.279    
 f,          21,fy,  -1759.593    
 f,          22,fy,  -2074.865    
 f,          23,fy,  -2115.431    
 f,          24,fy,  -2074.865    
 f,          25,fy,  -2018.524    
 f,          26,fy,  -1946.804    
 f,          27,fy,  -1632.180    
 f,          28,fy,  -2148.066    
 f,          29,fy,  -2139.899    
 f,          30,fy,  -2115.431    
 f,          31,fy,  -2139.899    
 f,          32,fy,  -1232.080    
 f,          33,fy,  -1380.752    
 f,          34,fy,  -1108.495    
 f,          35,fy,  -734.6833    
 f,          36,fy,  -743.7184    
 f,          37,fy,  -907.8148    
 f,          38,fy,  -1074.034    
 f,          39,fy,  -1518.913    
 f,          40,fy,  -1645.509    
 f,          41,fy,  -1946.804    
 f,          42,fy,  -2018.524    
 f,          43,fy,  -1860.279    
 f,          44,fy,  -1759.594    
 f,          45,fy,  -2074.876    
 f,          46,fy,  -2115.452    
 f,          47,fy,  -2074.876    
 f,          48,fy,  -2018.528    
 f,          49,fy,  -1946.823    
 f,          50,fy,  -1632.193    
 f,          51,fy,  -2148.064    
 f,          52,fy,  -2139.887    
 f,          53,fy,  -2115.452    
 f,          54,fy,  -2139.887    
 f,          55,fy,  -1232.075    
 f,          56,fy,  -1380.759    
 f,          57,fy,  -907.8131    
 f,          58,fy,  -1074.037    
 f,          59,fy,  -734.6813    
 f,          60,fy,  -1518.925    
 f,          61,fy,  -1645.522    
 f,          62,fy,  -1946.823    
 f,          63,fy,  -2018.528    
 f,          64,fy,  -1860.294    
 f,          65,fy,  -1759.600    
 f,          66,fy,  -2074.888    
 f,          67,fy,  -2115.431    
 f,          68,fy,  -2074.888    
 f,          69,fy,  -2018.518    
 f,          70,fy,  -1946.818    
 f,          71,fy,  -1632.183    
 f,          72,fy,  -2148.075    
 f,          73,fy,  -2139.894    
 f,          74,fy,  -2115.431    
 f,          75,fy,  -2139.894    
 f,          76,fy,  -1232.082    
 f,          77,fy,  -1380.758    
 f,          78,fy,  -1108.494    
 f,          79,fy,  -734.6818    
 f,          80,fy,  -737.3658    
 f,          81,fy,  -743.7154    
 f,          82,fy,  -907.8112    
